post_text,sentiment
"Brasil ðŸ‡§ðŸ‡· se aferra al rÃ¡nking FIFA con Argentina ðŸ‡¦ðŸ‡· acechando de cerca ðŸ§ðŸ«£

ðŸ—’ï¸ Conoce las modificaciones en la clasificaciÃ³n tras #Qatar2022 â¬‡ï¸

Brazil ðŸ‡§ðŸ‡· clings to the FIFA rankings with Argentina ðŸ‡¦ðŸ‡· lurking closely ðŸ§ Argentina

â¬‡ï¸ Learn about the changes in the classification after #Qatar2022 â¬‡ï¸",0
"Timed to perfection! A sensational chip from Vincent Aboubakar 🇨🇲↗️

Vote for your Hyundai Goal of the Tournament 👉 https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
Which #Qatar2022 match do you wish you could watch again for the first time?,0
Which #Qatar2022 match do you wish you could watch again for the first time?,0
The award for #TheBest Men’s Goalkeeper will be hotly contested 🏆👀,2
"Get the Official FIFA World Cup™ Matchday Programme of the Greatest Final EVER' - FREE to Download

https://e-m.media/fifasocial",0
"WORLD CHAMPIONS Argentina are up to second in the #FIFARanking 🇦🇷📈

Brazil hold onto top spot 🇧🇷 👀
Plenty of movement elsewhere 🔁 👏",2
"A beauty from Paik Seung-ho! ☄️

Vote now for your Hyundai Goal of the Tournament 🗳️ https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
"A brilliant and unforgettable goal from Salem Al-Dawsari 🇸🇦

🗳️ Vote now for your Hyundai Goal of the Tournament: https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
"The juggling, the passing, the finish 😍 Another brilliant goal by Richarlison! 🇧🇷

Vote now for your Hyundai Goal of the Tournament 🗳️ https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
"This Luis Chavez free kick was a screamer! 🤩

Vote now for your Hyundai Goal of the Tournament 🗳️ https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",3
Kylian Mbappe's remarkable hat-trick ensured a #FIFAWorldCup final for the ages 👏🇫🇷,0
"What a goal by Neymar to equal Pele's record! 🇧🇷

🗳️ Vote now for your Hyundai Goal of the Tournament: https://play.fifa.com/gott

#HyundaiGOTT2022 | #FIFAWorldCup",2
"Maradona would have loved this #FIFAWorldCup 🇦🇷

Watch 'After Diego' and discover how he impacted the beautiful game and the communities who idolised him ⤵️

📺: https://fifa.fans/3Wrp57I",2
"Six years ago, Enzo Fernandez penned an open letter asking his hero, Lionel Messi, to reconsider retirement from international football.

Three days ago, Fernandez lifted the #FIFAWorldCup trophy alongside his idol 🏆",0
"Enzo Fernandez's first #FIFAWorldCup goal was a GOLAZO 💥

Vote for your Hyundai Goal Of The Tournament 🗳️ https://play.fifa.com/gott

#HyundaiGOTT2022",0
"What will this list look like after the #FIFAWWC in 2023? 🤔

#FIFAWorldCup",0
pov: watching Luka Modric 🇭🇷 train at the #FIFAWorldCup,0
"ðŸ¢ðŸ‡«ðŸ‡· Kylian Mbappe returned to Paris Saint-Germain training on Wednesday, three days on from France's #FIFAWorldCup final defeat.

Find out more here: ðŸ‘€ðŸ”¥",1
𝑷𝒊𝒄𝒔 𝑻𝒉𝒂𝒕 𝑮𝒐 𝑯𝒂𝒓𝒅 𝑽𝒐𝒍. 1,1
"Eusebio, Paolo Rossi, Oleg Salenko.... Enner Valencia ðŸ‡ªðŸ‡¨

ðŸ‘ At #Qatar2022, the Ecuadorian joined a select group, scoring six consecutive #FIFAWorldCup goals for their country!",0
"Eusebio, Paolo Rossi, Oleg Salenko.... Enner Valencia 🇪🇨

👏 At #Qatar2022, the Ecuadorian joined a select group, scoring six consecutive #FIFAWorldCup goals for their country!",0
"ðŸš¨ Cuando Messi dice que te sientes, te sientas. De Paul obedece a su capitÃ¡n ðŸ˜…

#FIFAWorldCup #Qatar2022 #argentina

ðŸš¨ When Messi says sit down, sit down. De Paul obeys his captain ðŸ˜…

#FIFAWorldCup #Qatar2022 #argentina",0
"#MbappÃ©, con 24 aÃ±os, tambiÃ©n es un lÃ­der.

Esto dijo en el entretiempo de #Argentina ðŸ‡¦ðŸ‡· - #Francia ðŸ‡«ðŸ‡· en la final del Mundial.

El enojo de Deschamps tambiÃ©n refleja cÃ³mo jugÃ³ el equipo.

#worldcup #Qatar2022 #FIFAWorldCup

#MbappÃ©, 24, is also a leader.

This is what he said in the meantime of #Argentina ðŸ‡¦ðŸ‡· - #France ðŸ‡«ðŸ‡· in the World Cup final.

Deschamps' anger also reflects how the team played.

#worldcup #Qatar2022 #FIFAWorldCup",3
"World champions, rejoice! 🇦🇷🥳

#FIFAWorldCup",2
"In Argentina, the celebrations have not stopped 🇦🇷🏆

#FIFAWorldCup",0
Only one man scored a winning goal against Argentina 🇸🇦🚀,2
Which #FIFAWorldCup stand-out should clubs be looking at in the January transfer window?,0
"Spectacular and artistic 

ðŸ‘‡ Best moments from the #Qatar2022 closing ceremony!",2
"Spectacular and artistic 🤩🎆

👇 Best moments from the #Qatar2022 closing ceremony!",2
The last time Croatia finished third at a #FIFAWorldCup 🥉👏,2
"2006 saw the beginning and end of eras 🤜🤛

🤔 Was this #FIFAWorldCup a similar crossroads?",0
"ðŸ‘‹ Say hi to the youngest goalscorer from #Qatar2022

Gavi ðŸ‡ªðŸ‡¸",0
"👋 Say hi to the youngest goalscorer from #Qatar2022

Gavi 🇪🇸",0
"Congratultions Argantina 
you are real Champion Messi 

#FIFAWorldCup #Qatar2022",2
"⭐ ⭐ ⭐

#FIFAWorldCup #Qatar2022",0
"This fan fell from a bridge while trying to jump onto the bus with the Argentina players ðŸ˜³

Even injured and going on a stretcher to the hospital, he NEVER stopped singing and supporting his national team ðŸ˜…

#FIFAWorldCup #Qatar2022 #ARG",1
"A goal 6ï¸âƒ£4ï¸âƒ£ years in the waiting â³ ðŸ´ó §ó ¢ó ·ó ¬ó ³ó ¿

#FIFAWorldCup #Qatar2022",0
"A goal 6️⃣4️⃣ years in the waiting ⏳ 🏴󠁧󠁢󠁷󠁬󠁳󠁿

#FIFAWorldCup #Qatar2022",0
"Trend setter ðŸ¦¸ ðŸ¦¸ ðŸ¦¸

#FIFAWorldCup #Qatar2022",0
"Trend setter 🦸 🦸 🦸

#FIFAWorldCup #Qatar2022",0
"Who was the best #ï¸âƒ£9ï¸âƒ£ in Qatar?

#FIFAWorldCup #Qatar2022",2
"Who was the best #️⃣9️⃣ in Qatar?

#FIFAWorldCup #Qatar2022",2
"ðŸ›‹ï¸ ðŸ“º ðŸ¿
The only place where I believed in justice was the FIFA World Cup and they took away the Argentinian one and they gave it to me.
#FIFAWorldCup #Qatar2022",2
"Dream 🤝 Reality

#FIFAWorldCup",2
"ðŸ‡¦ðŸ‡·ðŸ‘€ AsÃ­ fueron los impresionantes y locos festejos de la AFA - SelecciÃ³n Argentina en Buenos Aires tras la conquista en #Qatar2022 ðŸ’¥

ðŸ“½ï¸ AsÃ­ fue el recorrido de los campeones de la #CopaMundialFIFA â¤µï¸

ðŸ‡¦ðŸ‡·ðŸ‘€ This was the impressive and crazy celebrations of the AFA - SeleccioÌn Argentina in Buenos Aires after the conquest in #Qatar2022 ðŸ’¥

elï¸ This was the journey of the #FIFAWorldCup champions â¤µï¸",0
"ðŸ‡¦ðŸ‡·ðŸŽ‰ Argentina were unable to complete their #FIFAWorldCup victory parade as their bus was held up by huge crowds in Buenos Aires. ðŸš§

Check out the full story here: ðŸ”¥",1
Morocco's national team made history at the FIFA World Cup after finishing fourth https://aje.io/ihv7ni,0
"🇫🇷💪
King of Football Messi !",0
"ðŸ“@AFASeleccionArgentina Victory Parade

#FIFAWorldCup | #Qatar2022",0
"📍@AFASeleccionArgentina Victory Parade

#FIFAWorldCup | #Qatar2022",0
"Another day, another record broken!",1
"Messi's magic ✨
Martinez's mentality 🤯
Scaloni's tactical nous 💯",2
"ðŸ‘‘ Leo Messi at Argentina's World Cup Title parade ðŸ‘‹

#FIFAWorldCup #Qatar2022 #ARG",0
"

âª One month ago, Jung Kook delivered at the #Qatar2022 opening ceremony! ðŸ™Œ",0
"𝙇𝙤𝙤𝙠 𝙬𝙝𝙤 𝙬𝙚 𝙖𝙧𝙚, 𝙬𝙚 𝙖𝙧𝙚 𝙩𝙝𝙚 𝙙𝙧𝙚𝙖𝙢𝙚𝙧𝙨 🎶✨

⏪ One month ago, Jung Kook delivered at the #Qatar2022 opening ceremony! 🙌",2
"Come for the goal, stay for the celebrations ðŸ”¥

#FIFAWorldCup | #Qatar2022",0
"Come for the goal, stay for the celebrations 🔥

#FIFAWorldCup | #Qatar2022",2
"ðŸ¥³ðŸ†ðŸ‡¦ðŸ‡·Â¡TODA UNA FIESTA! Decenas de miles de aficionados recibieron a MESSI ð“ƒµ y ARGENTINA en Buenos Aires para homenajearlos por la #CopaMundialFIFA conquistada en #Qatar2022 ðŸŽ‰ðŸ’¥

ðŸ¥³ðŸ†ðŸ‡¦ðŸ‡· A WHOLE PARTY! Tens of thousands of fans received MESSI Dec and ARGENTINA in Buenos Aires to honor them for the #FIFAWorldCup conquered in #Qatar2022 ðŸŽ‰ðŸ’¥",2
Who was the most underrated player at the #FIFAWorldCup?,1
"""I don't subscribe to this feeling that England had a really good World Cup. Getting to the quarter-finals wasn't a big achievement and I don't think we should be celebrating it"" ðŸ˜¬",3
Thousands of fans welcomed their #FIFAWorldCup heroes home in the early hours! 🇦🇷,0
The moment the World Cup trophy landed back in Argentina! ðŸ†,0
"A homecoming to remember !ðŸ’™ðŸ‡¦ðŸ‡·ðŸ†

#FIFAWorldCup | #Qatar2022",2
"A homecoming to remember !💙🇦🇷🏆

#FIFAWorldCup | #Qatar2022",2
The #FIFAWorldCup champions are back home 🇦🇷🏆,0
The Argentina squad return home ahead of their victory parade celebrating their World Cup success ðŸ‡¦ðŸ‡·ðŸ†,0
"An alter for Diego Maradona ðŸ™Œ

#FIFAWorldCup #Qatar2022",2
"An alter for Diego Maradona 🙌

#FIFAWorldCup #Qatar2022",2
"Croatia's homecoming to Zagreb was wild ðŸŽ† ðŸ¥³

#FIFAWorldCup #Qatar2022",0
"Croatia's homecoming to Zagreb was wild 🎆 🥳

#FIFAWorldCup #Qatar2022",1
"Still thinking about that final? ðŸ’­

#FIFAWorldCup #Qatar2022",0
"Still thinking about that final? 💭

#FIFAWorldCup #Qatar2022",2
"A story of an underdog ðŸŒŸ

#FIFAWorldCup #Qatar2022",1
"A story of an underdog 🌟

#FIFAWorldCup #Qatar2022",2
"âš½ Group stage
âš½ Round of 16
âš½ Quarter-final
âš½ Semi-final
âš½ Final

#FIFAWorldCup #Qatar2022",0
"⚽ Group stage
⚽ Round of 16
⚽ Quarter-final
⚽ Semi-final
⚽ Final

#FIFAWorldCup #Qatar2022",0
"Revelling in the atmosphere ðŸ¥

#FIFAWorldCup #Qatar2022",2
"Revelling in the atmosphere 🥁

#FIFAWorldCup #Qatar2022",2
"Merci ðŸ«¶

Thousands of fans gathered in Paris to welcome Ã‰quipe de France de Football home ðŸ 

#FIFAWorldCup #Qatar2022",2
"Merci 🫶

Thousands of fans gathered in Paris to welcome Équipe de France de Football home 🏠

#FIFAWorldCup #Qatar2022",2
"Incredible scenes from the capital ðŸ‡¦ðŸ‡·

#FIFAWorldCup #Qatar2022",2
"Incredible scenes from the capital 🇦🇷

#FIFAWorldCup #Qatar2022",2
"ðŸ¤©ðŸ‡«ðŸ‡· Miles de hinchas franceses recibieron con orgullo al Ã‰quipe de France de Football tras el subcampeonato de #Qatar2022 ðŸŽ‰ðŸ¾

#CopaMundialFIFA

ðŸ¤©ðŸ‡«ðŸ‡· Thousands of French fans proudly welcomed the EÌquipe de France de Football after the #Qatar2022 sub-championship ðŸŽ‰ðŸ¾

#CopaMundialFIFA",0
"No doubts in Mac Allister's mind â˜‘ï¸

#FIFAWorldCup #Qatar2022",2
"No doubts in Mac Allister's mind ☑️

#FIFAWorldCup #Qatar2022",2
"ðŸ‘€ðŸ“Š Leo Messi ð“ƒµ lidera los rÃ©cords de #Qatar2022 ðŸ’¥

ðŸ—žï¸ Conoce las nuevas marcas de la #CopaMundialFIFA â¤µï¸

ðŸ‘€ ð“ƒµ Leo Messi ðŸ‘€ leads the #Qatar2022 records ðŸ’¥

Coï¸ Meet the new #FIFAWorldCup brands â¤µï¸",0
"Lionel Scaloni celebrated Argentina's victory in the shirt he wore when he won the U20 World Cup in 1997 ðŸ‡¦ðŸ‡· ðŸ†

#FIFAWorldCup #Qatar2022",0
"Lionel Scaloni celebrated Argentina's victory in the shirt he wore when he won the U20 World Cup in 1997 🇦🇷 🏆

#FIFAWorldCup #Qatar2022",0
"Watching from the clouds 🏆 ☁️

#FIFAWorldCup #Qatar2022",2
"There’s nothing like penalty drama in a #FIFAWorldCup final 🍿

🎥 Learn more behind the iconic moments of the 1994 Men's World Cup and 1999 Women's World Cup.",1
"
#WorldCupQatar2022 | #Qatar2022 | #FIFAWorldCup

Thousands of fans receive the French national team and the World Champion Summer


#WorldCupQatar2022 | #Qatar2022 | #FIFAWorldCup",0
"A tournament we'll never forget.

#FIFAWorldCup | #Qatar2022",0
"A tournament we'll never forget.

#FIFAWorldCup | #Qatar2022",0
Behind-the-scenes with a #FIFAWorldCup Match Director 🎥,0
"ðŸŽ‰ðŸšŒLeo MESSI y los jugadores de ARGENTINA ðŸ‡¦ðŸ‡· festejaron con la #CopaMundialFIFA ðŸ† por las calles de Doha ðŸ¥³ðŸ”¥

#Qatar2022

ðŸŽ‰ðŸšŒ Leo MESSI and the players of ARGENTINA ðŸ‡¦ðŸ‡· celebrated with the #FIFAWorldCup ðŸ† through the streets of Doha ðŸ¥³ðŸ”¥

#Qatar2022",0
It wasn't Lionel Messi or Kylian Mbappe ❌,1
🙌 The trophies for Messi keep on coming!,2
"2022 🤝 2023

#FIFAWorldCup done. #FIFAWWC here we come!",0
"âœ¨ Footballing genius âœ¨

Argentina's World Cup-winning captain Lionel Messi has been crowned BBC Sports Personality's World Sport Star of the Year for 2022!",2
"✨ Footballing genius ✨

Argentina's World Cup-winning captain Lionel Messi has been crowned BBC Sports Personality's World Sport Star of the Year for 2022!",2
"ðŸ˜ðŸ†ðŸ‡¦ðŸ‡· Argentina desfila con la #CopaMundialFIFA en Doha ðŸŽ‰ðŸ¥³ #Qatar2022

ðŸ˜ðŸ†ðŸ‡¦ðŸ‡· Argentina parades with the #FIFAWorldCup in Doha ðŸŽ‰ðŸ¥³ #Qatar2022",0
"From Usain Bolt to Serena Williams, everyone was swept up in the drama of the 'greatest World Cup final ever.'",1
This isn't the end of Lionel Messi's Argentina story!,1
✈️🏆 It's coming home 🇦🇷,0
"Pic of the day ðŸ†ðŸðŸ¥¹

#FIFAWorldCup #Qatar2022 #ARG #Messið“ƒµ",0
"""I enjoy being with the national team, the group, I want to continue living a few more games being world champion.""",2
Scenes in Buenos Aires after Argentina became world champions 😳 🇦🇷,0
"""Gracias, Messi"" 🥹

""Thank you, Messi"" """,2
"ðŸ‘€ðŸ“± AsÃ­ felicitÃ³ Luis Suarez a Leo Messi ð“ƒµ tras conquistar la #CopaMundialFIFA ðŸ¤©

ðŸ—žï¸ No te pierdas el mensaje que le enviÃ³ y cÃ³mo lo hizo â¤µï¸

ðŸ‘€ ðŸ“± This is how Leo Messi congratulated Luis Suarez Leo Messi after conquering the #FIFAWorldCup ðŸ¤©

queï¸ Don't miss the message he sent him and how he did it â¤µï¸",2
"For some, it was the perfect ending to a tournament like no other.

For others, it ruined the moment.",3
"ðŸ‡¦ðŸ‡· Emiliano Martinez, Lisandro Martinez y Cristian Romero jugando al FIFA con lentes hasta las 6 am luego de ganar la #CopaMundialFIFA ðŸ˜‚ðŸ˜Ž #Qatar2022

ðŸ‡¦ðŸ‡· Emiliano Martinez, Lisandro Martinez and Cristian Romero playing FIFA with glasses until 6 am after winning the #CopaMundialFIFA ðŸ˜‚ðŸ˜Ž #Qatar2022",0
The goalkeeper and referee were hit by a metal bucket,1
Guess where ðŸ¥¹ðŸ¤© #FIFAWorldCup #ARG #Qatar2022,0
Guess where ðŸ¥¹ðŸ¤© #FIFAWorldCup #ARG #Qatar2022,0
"Thanks for the memories â¤

#FIFAWorldCup #Qatar2022",2
"Thanks for the memories ❤

#FIFAWorldCup #Qatar2022",2
"ðŸ¤©ðŸ¥³AsÃ­ fue la FIESTA de los ARGENTINOS alrededor del mundo tras ganar el MUNDIAL ðŸ‡¦ðŸ‡· ðŸŽ‰

#Qatar2022 i #CopaMundialFIFA

ðŸ¤© ðŸ¥³ This is how the party of Argentinians around the world was after winning the World Cup ðŸ‡¦ðŸ‡· ðŸŽ‰

#Qatar2022 i #FIFAWorldcup",0
"ðŸ¤©ðŸ¥³AsÃ­ fue la FIESTA de los ARGENTINOS alrededor del mundo tras ganar el MUNDIAL ðŸ‡¦ðŸ‡· ðŸŽ‰

#Qatar2022 i #CopaMundialFIFA

ðŸ¤© ðŸ¥³ This is how the party of Argentinians around the world was after winning the World Cup ðŸ‡¦ðŸ‡· ðŸŽ‰

#Qatar2022 i #FIFAWorldcup",0
"BREAKING ðŸ“°ðŸš¨

Karim Benzema has announced his retirement from the French national team ðŸ‡«ðŸ‡·",0
"Didier Deschamps said a virus in the France squad impacted their woeful start to Sunday's World Cup final, though he stopped short of blaming it for Les Bleus' defeat. ðŸ‡«ðŸ‡·ðŸ¦ 

Read more here â†“",1
"ðŸ—£ï¸ La felicitaciÃ³n de PelÃ© a Leo Messi ð“ƒµ y la AFA - SelecciÃ³n Argentina: ""Seguro Diego estÃ¡ sonriendo ahora""ðŸ‡¦ðŸ‡·ðŸ‘

ðŸ—žï¸ Disfruta las declaraciones de 'O Rei' â¤µï¸

ðŸ—£ï¸ @TAG's congratulation to Leo Messi ciÃ³n and PeleÌ : ""Surely Diego is smiling now"" ðŸ‡¦ðŸ‡·ðŸ‘

'ï¸ Enjoy 'O Rei' statements â¤µï¸",2
Argentina celebrated winning the World Cup with an open-top bus parade in Qatar! 🏆,2
Iconic or disrespectful?,1
"And the records kept falling 👑

#FIFAWorldCup",1
"Coming of age, Enzo Fernandez 🏆😍

#FIFAWorldCup",0
"The first World Cup in the Middle East, the first in mid-winter, the first to be alcohol-free in stadiums, the first to see no arrests of any UK citizens...",0
"The first World Cup in the Middle East, the first in mid-winter, the first to be alcohol-free in stadiums, the first to see no arrests of any UK citizens...",0
It was a World Cup final for the ages on the BBC ðŸ™Œ,0
It was a World Cup final for the ages on the BBC 🙌,2
"🎁 The #FIFAWorldCup final was a gift

And Équipe de France de Football played an equal part in it 🇫🇷👏",2
He did it. ❤️ 🇦🇷,2
"Back in Buenos Aires and Messi's hometown of Rosario 🇦🇷🎆

#FIFAWorldCup",0
"No, it wasn't all a dream 🇦🇷🏆",0
"Greatness recognises greatness! 🙌

#FIFAWorldCup",2
"
#قطر2022 | #Qatar_2022
#WorldCupQatar2022 | #Qatar2022 | #FIFAWorldCup

Look who we are...

We are the dreamers

#قطر2022 | #كأس_العالم_قطر_2022
#WorldCupQatar2022 | #Qatar2022 | #FIFAWorldCup",2
A five-for at just 18 years old ✅,0
"Dream 🤝 Reality

#FIFAWorldCup",2
"The best World Cup ever?!

#Qatar2022, completed it ✅",2
Millions of fans have cheered together across 64 matches at the #FIFAWorldCup. Here are some of our favourite moments with #shotonvivo!,2
"Lionel Messi, with #FIFAWorldCup trophy in hand, lifted aloft Aguero's shoulders in celebration! 🇦🇷🥳",0
Messi ❤️ Mbappe,0
"😳 Unforgettable matches, unforgettable goals 🥰
Rewatch them all on FIFA+ and vote for your Hyundai Goal Of The Tournament!

Vote here: https://play.fifa.com/gott

#HyundaiGOTT2022 #FIFAWorldCup",2
Yet more reasons for Argentina to celebrate 🇦🇷 🙌,2
Lionel Messi draped in #FIFAWorldCup immortality 💫🏆,0
He's the man for the job!,2
Don't cry because the tournament's over. Smile...because you can go to McDonald's more now.,2
Story of the #FIFAWorldCup final in 🔟 images 🤩🏆,0
"Lionel Messi and Angel Di Maria proved age to be a mere statistic! 💪🇦🇷

👇 Watch which #FIFAWorldCup record they created!",2
"💔

#FIFAWorldCup",1
"The people's champion ❤️

Lionel Messi takes the trophy to the fans 🏆

#FIFAWorldCup #Qatar2022",2
Lionel Messi celebrates in the immediate aftermath of becoming a #FIFAWorldCup winner 🏆,2
"💔 2014
🥳 2022
FIIFA World cup
#FIFAWorldCup #Qatar2022",0
The exact moment this #FIFAWorldCup final came alive! 🇦🇷🇫🇷,0
"The #FIFAWorldCup Champions club has a glorious new entrant 🇦🇷

🏆 Lionel Messi's Argentina!",2
"Perfect viewing for your morning, afternoon or evening ðŸ¿

Relive Argentina's emotional journey to glory in our special film ðŸ“º

#FIFAWorldCup #Qatar2022",2
"Perfect viewing for your morning, afternoon or evening 🍿

Relive Argentina's emotional journey to glory in our special film 📺

#FIFAWorldCup #Qatar2022",2
"ðŸ‡¦ðŸ‡·ðŸ† Leo Messi ð“ƒµ y la AFA - SelecciÃ³n Argentina agrandan su leyenda tras ganar su tercera #CopaMundialFIFA en #Qatar2022 ðŸ’¥

ðŸ—žï¸ Disfruta la crÃ³nica y reviveðŸ“½ï¸ los goles de 'La Pulga' en la GRAN FINAL ante Francia â¤µï¸

ðŸ‡¦ðŸ‡·ðŸ† AFA - SeleccioÌn Argentina tras and the Leo Messi expand their legend after winning their third #FIFAWorldCup in #Qatar2022 ðŸ’¥

ï¸ï¸ Enjoy the report and relive 'ï¸ the goals of 'La Pulga' in the Grand Final against France â¤µï¸",0
"For the fans ðŸ†

#FIFAWorldCup #Qatar2022",2
"ðŸ‡¦ðŸ‡·ðŸ† Leo Messi ð“ƒµ y la AFA - SelecciÃ³n Argentina agrandan su leyenda tras ganar su tercera #CopaMundialFIFA en #Qatar2022 ðŸ’¥

ðŸ—žï¸ Disfruta la crÃ³nica y reviveðŸ“½ï¸ los goles de 'La Pulga' en la GRAN FINAL ante Francia â¤µï¸

ðŸ‡¦ðŸ‡·ðŸ† AFA - SeleccioÌn Argentina tras and the Leo Messi expand their legend after winning their third #FIFAWorldCup in #Qatar2022 ðŸ’¥

ï¸ï¸ Enjoy the report and relive 'ï¸ the goals of 'La Pulga' in the Grand Final against France â¤µï¸",0
"For the fans 🏆

#FIFAWorldCup #Qatar2022",2
"Eight goals, the adidas Golden Boot and a tournament for the ages ðŸŒŸ

#FIFAWorldCup #Qatar2022",0
"Eight goals, the adidas Golden Boot and a tournament for the ages 🌟

#FIFAWorldCup #Qatar2022",0
"ðŸ‡¦ðŸ‡· Argentina return to the summit
ðŸ“ˆ The highest-scoring World Cup in history

#FIFAWorldCup #Qatar2022",0
"ðŸ—£ï¸ La emociÃ³n de Scaloni: ""Este equipo juega para la gente, fuimos campeones merecidamente"" ðŸ‡¦ðŸ‡·ðŸ’¥

ðŸ—žï¸ No te pierdas las declaraciones del DT de la AFA - SelecciÃ³n Argentina â¤µï¸

ðŸ—£ï¸ Scaloni's emotion: ""This team plays for the people, we were champions deservedly"" ðŸ‡¦ðŸ‡·ðŸ’¥

ðŸ—žï¸ Don't miss the statements of the DT of the AFA - SeleccioÌn Argentina â¤µï¸",2
"🇦🇷 Argentina return to the summit
📈 The highest-scoring World Cup in history

#FIFAWorldCup #Qatar2022",0
"ðŸ”¥ AsÃ­ fueron los DESCONTROLADOS festejos de #Messi y el resto de jugadores argentinos en el vestuario tras consagrarse campeones del mundo en Qatar 2022.

#ARG #FIFAWorldCup

ðŸ”¥ This was the UNCONTROLED celebrations of #Messi and the rest of the Argentine players in the locker room after becoming world champions in Qatar 2022.

#ARG #FIFAWorldCup",0
